Data,Model,Entropy,M,d,ARI,Series Time,Parallel Time
5,ccPGMM (43.5%),0,10,d = 10,0.84115687,503.965224,59.32599406
5,ccPGMM (43.5%),1,10,d = 10,0.861856341,503.5573058,58.91807588
5,cPGMM,0,25,d = 10,0.809080192,1511.327625,168.9806539
5,cPGMM,1,25,d = 10,0.801051594,1511.417343,169.0703718
5,ccPGMM (43.5%),0,25,d = 10,0.850494019,1149.764909,125.8998305
5,ccPGMM (43.5%),1,25,d = 10,0.789671648,1149.741254,125.8761755
5,cPGMM,0,50,d = 10,0.817420578,3323.700813,336.6889955
5,cPGMM,1,50,d = 10,0.795679947,3324.662484,337.6506656
5,ccPGMM (43.5%),0,50,d = 10,0.813817418,2476.773303,253.1742015
5,ccPGMM (43.5%),1,50,d = 10,0.860897153,2477.974957,254.3758556
5,cPGMM,0,100,d = 10,0.80911429,6717.283947,654.8263004
5,cPGMM,1,100,d = 10,0.808915944,6718.771049,656.3134025
5,ccPGMM (43.5%),0,100,d = 10,0.813506559,5010.158645,493.2715644
5,ccPGMM (43.5%),1,100,d = 10,0.882675195,5011.43557,494.5484901
5,cPGMM,0,10,d = 20,0.79920371,1267.753297,149.5527771
5,cPGMM,1,10,d = 20,0.872552881,1267.786389,149.5858692
5,ccPGMM (43.5%),0,10,d = 20,0.922973435,914.0417354,111.3129788
5,ccPGMM (43.5%),1,10,d = 20,0.902480104,914.4643914,111.7356348
5,cPGMM,0,25,d = 20,0.875391111,3151.21778,329.1754289
5,cPGMM,1,25,d = 20,0.897704389,3152.142181,330.0998298
5,ccPGMM (43.5%),0,25,d = 20,0.935167957,2935.942649,303.395821
5,ccPGMM (43.5%),1,25,d = 20,0.914060802,2936.453703,303.9068751
5,cPGMM,0,50,d = 20,0.841269728,6484.242996,633.5205106
5,cPGMM,1,50,d = 20,0.905113268,6485.54081,634.8183246
5,ccPGMM (43.5%),0,50,d = 20,0.911239477,6475.311934,605.0350222
5,ccPGMM (43.5%),1,50,d = 20,0.942434112,6476.373557,606.096645
5,cPGMM,0,100,d = 20,0.895245406,13772.37764,1306.296866
5,cPGMM,1,100,d = 20,0.851449701,13775.17001,1309.089239
5,ccPGMM (43.5%),0,100,d = 20,0.922005328,12980.10402,1227.280264
5,ccPGMM (43.5%),1,100,d = 20,0.901860152,12981.17268,1228.348921
1,PGMM,0,PGMM,PGMM,0.9650045,2687.21,2687.21
2,PGMM,0,PGMM,PGMM,0.9652767,2672.69,2672.69
3,PGMM,0,PGMM,PGMM,0.9655813,2832.137,2832.137
