Data,Model,Entropy,d,M,ARI,Series Time,Parallel Time
4,PGMM,1,PGMM,PGMM,0.336976332,6.377188067,6.377188067
4,GMM,1,GMM,GMM,-0.010280736,0.553558866,0.553558866
4,DBSCAN,1,DBSCAN,DBSCAN,0.419492475,0.083219552,0.083219552
5,cPGMM,0,d = 10,10,0.159298875,10.83674086,1.664128017
5,cPGMM,1,d = 10,10,-0.035234344,10.83542901,1.662816167
5,ccPGMM,0,d = 10,10,0.276665585,3.151773997,0.576801916
5,ccPGMM,1,d = 10,10,0.306582988,3.163041162,0.588069081
5,cPGMM,0,d = 10,25,0.173546295,28.59510541,3.650110928
5,cPGMM,1,d = 10,25,0.196816571,28.59334333,3.648348852
5,ccPGMM,0,d = 10,25,0.395930186,10.68967611,1.352102518
5,ccPGMM,1,d = 10,25,0.370803911,10.7093143,1.371740711
5,cPGMM,0,d = 10,50,0.142717075,74.12739264,7.612527398
5,cPGMM,1,d = 10,50,-0.028619818,74.15993874,7.645073501
5,ccPGMM,0,d = 10,50,0.389905023,22.09849051,2.619415398
5,ccPGMM,1,d = 10,50,0.341847602,22.12547031,2.646395199
5,cPGMM,0,d = 10,100,0.236688027,142.1156773,14.17206319
5,cPGMM,1,d = 10,100,0.272303322,142.2702653,14.32665126
5,ccPGMM,0,d = 10,100,0.386454711,42.25104515,4.883614202
5,ccPGMM,1,d = 10,100,0.388651631,42.33852251,4.971091564
5,cPGMM,0,d = 20,10,0.114538271,17.17031595,2.236115599
5,cPGMM,1,d = 20,10,-0.04302219,17.17768325,2.2434829
5,ccPGMM,0,d = 20,10,0.387529903,10.76383606,1.481407666
5,ccPGMM,1,d = 20,10,0.405332788,10.77232564,1.489897251
5,cPGMM,0,d = 20,25,0.259237423,46.45753877,5.098700968
5,cPGMM,1,d = 20,25,0.210053045,46.49127989,5.132442089
5,ccPGMM,0,d = 20,25,0.351481218,26.83146581,3.382213434
5,ccPGMM,1,d = 20,25,0.377186442,26.81163339,3.362381017
5,cPGMM,0,d = 20,50,0.205410786,100.3838635,10.09561183
5,cPGMM,1,d = 20,50,0.215495186,100.4199448,10.13169313
5,ccPGMM,0,d = 20,50,0.376391197,57.4880095,6.068171751
5,ccPGMM,1,d = 20,50,0.337979813,57.5178489,6.098011152
5,cPGMM,0,d = 20,100,0.318393766,227.3535381,21.82270597
5,cPGMM,1,d = 20,100,0.156051613,227.4321967,21.90136455
5,ccPGMM,0,d = 20,100,0.482202229,102.0062379,10.67683219
5,ccPGMM,1,d = 20,100,0.380303922,102.0661507,10.73674499
5,PGMM,0,PGMM,PGMM,0.204392659,6.607693199,6.607693199
5,GMM,0,GMM,GMM,0.250459722,0.70016195,0.70016195
5,DBSCAN,0,DBSCAN,DBSCAN,0.229341475,0.112659431,0.112659431
5,PGMM,1,PGMM,PGMM,0.204392659,6.607693199,6.607693199
5,GMM,1,GMM,GMM,0.250459722,0.70016195,0.70016195
5,DBSCAN,1,DBSCAN,DBSCAN,0.229341475,0.112659431,0.112659431
